case,native_rc,split_rc,native_mapped_sha256,split_mapped_sha256,netlist_equal,stat_equal,native_total,native_comb,native_dff,split_total,split_comb,split_dff,check_assert_split
test1,0,0,fb5a0c0503cb957e7edb4a2c7c15810c47d248cf7995c7e9eaf2c91a91860e27,fb5a0c0503cb957e7edb4a2c7c15810c47d248cf7995c7e9eaf2c91a91860e27,True,True,510,286,222,510,286,222,True
test2,0,0,a58a2965a9727ad299596788343fc7597fd95fe015a65b246a5582cc65ec75a2,a58a2965a9727ad299596788343fc7597fd95fe015a65b246a5582cc65ec75a2,True,True,25,25,0,25,25,0,True
test3,0,0,bde6f09d465b42892d8c5c81bf3f5583a3d9996b145b68544accbc9c6e0ac295,bde6f09d465b42892d8c5c81bf3f5583a3d9996b145b68544accbc9c6e0ac295,True,True,30,12,17,30,12,17,True
test4,0,0,3fbed1370e3eff43ed384de6aae77dce81565b58586fd4e6ef6216c8a3c3abb2,3fbed1370e3eff43ed384de6aae77dce81565b58586fd4e6ef6216c8a3c3abb2,True,True,46,35,10,46,35,10,True
