case,native_rc,split_rc,native_mapped_sha256,split_mapped_sha256,netlist_equal,stat_equal,native_total,native_comb,native_dff,split_total,split_comb,split_dff,check_assert_split
test1,0,0,dec5528cdeb2343ac04b4087910b164633793afca4c49f1eb57777a64e178dd5,dec5528cdeb2343ac04b4087910b164633793afca4c49f1eb57777a64e178dd5,True,True,510,286,222,510,286,222,True
test2,0,0,13065f4872698d952d7802d7a37738d141fc558b1bf62854d281323ad07bed09,13065f4872698d952d7802d7a37738d141fc558b1bf62854d281323ad07bed09,True,True,25,25,0,25,25,0,True
test3,0,0,0604e40fd66fea4b479fbb0d083df3ca88a998236df99cb806ed9cca27854d59,0604e40fd66fea4b479fbb0d083df3ca88a998236df99cb806ed9cca27854d59,True,True,30,12,17,30,12,17,True
test4,0,0,497379f02be6874d30b672039d41731fc0038511657c7b22c05eb3e8e12f3e01,497379f02be6874d30b672039d41731fc0038511657c7b22c05eb3e8e12f3e01,True,True,46,35,10,46,35,10,True
