case,native_rc,split_rc,native_mapped_sha256,split_mapped_sha256,netlist_equal,stat_equal,native_total,native_comb,native_dff,split_total,split_comb,split_dff,check_assert_split
test1,0,0,60d3de0de71aa27e8a4248a5888b44d7ed3ac30a41a297231aafd1fd76182241,60d3de0de71aa27e8a4248a5888b44d7ed3ac30a41a297231aafd1fd76182241,True,True,510,286,222,510,286,222,True
test2,0,0,2346762fa5c648c0367879b5420f9d689adf226691e29019173199eae047f03d,2346762fa5c648c0367879b5420f9d689adf226691e29019173199eae047f03d,True,True,25,25,0,25,25,0,True
test3,0,0,1f619554079dfea9a0abdcbc410707378c07b7756e7b00517f13cfd3644498c2,1f619554079dfea9a0abdcbc410707378c07b7756e7b00517f13cfd3644498c2,True,True,30,12,17,30,12,17,True
test4,0,0,aa9ec6de7162b925e708c2f8d4525111f2aaccc0cc08eff97abd604ca8390d6b,aa9ec6de7162b925e708c2f8d4525111f2aaccc0cc08eff97abd604ca8390d6b,True,True,46,35,10,46,35,10,True
