case,partition,status,wall_s,base_proven_max,induct_failures,solver_timeout
test1,test1.i0,UNKNOWN,2.94,20,20,False
test1,test1.i1,UNKNOWN,3.13,20,20,False
test1,test1.i2,UNKNOWN,3.13,20,20,False
test1,test1.i3,UNKNOWN,3.04,20,20,False
test1,test1.i4,UNKNOWN,3.11,20,20,False
test1,test1.i5,UNKNOWN,3.01,20,20,False
test1,test1.i6,UNKNOWN,3.14,20,20,False
test1,test1.i7,UNKNOWN,2.67,20,20,False
test1,test1.inter0008_out.0,UNKNOWN,5.77,20,20,False
test1,test1.inter0008_out.1,UNKNOWN,6.03,20,20,False
test1,test1.inter0008_out.10,UNKNOWN,7.53,20,20,False
test1,test1.inter0008_out.11,UNKNOWN,7.25,20,20,False
test1,test1.inter0008_out.2,UNKNOWN,5.78,20,20,False
test1,test1.inter0008_out.3,UNKNOWN,6.03,20,20,False
test1,test1.inter0008_out.4,UNKNOWN,5.89,20,20,False
test1,test1.inter0008_out.5,UNKNOWN,6.04,20,20,False
test1,test1.inter0008_out.6,UNKNOWN,6.04,20,20,False
test1,test1.inter0008_out.7,UNKNOWN,5.28,20,20,False
test1,test1.inter0008_out.8,UNKNOWN,7.43,20,20,False
test1,test1.inter0008_out.9,UNKNOWN,7.43,20,20,False
test1,test1.inter0009_out.0,UNKNOWN,7.38,20,20,False
test1,test1.inter0009_out.1,UNKNOWN,7.75,20,20,False
test1,test1.inter0009_out.10,UNKNOWN,6.28,20,20,False
test1,test1.inter0009_out.11,UNKNOWN,6.09,20,20,False
test1,test1.inter0009_out.2,UNKNOWN,7.34,20,20,False
test1,test1.inter0009_out.3,UNKNOWN,7.44,20,20,False
test1,test1.inter0009_out.4,UNKNOWN,6.32,20,20,False
test1,test1.inter0009_out.5,UNKNOWN,6.46,20,20,False
test1,test1.inter0009_out.6,UNKNOWN,6.3,20,20,False
test1,test1.inter0009_out.7,UNKNOWN,6.17,20,20,False
test1,test1.inter0009_out.8,UNKNOWN,6.15,20,20,False
test1,test1.inter0009_out.9,UNKNOWN,6.31,20,20,False
test1,test1.q0,UNKNOWN,3.38,20,20,False
test1,test1.q1,UNKNOWN,3.19,20,20,False
test1,test1.q2,UNKNOWN,3.19,20,20,False
test1,test1.q3,UNKNOWN,3.13,20,20,False
test1,test1.q4,UNKNOWN,3.28,20,20,False
test1,test1.q5,UNKNOWN,3.2,20,20,False
test1,test1.q6,UNKNOWN,3.39,20,20,False
test1,test1.q7,UNKNOWN,3.36,20,20,False
test3,test3.gpioout,PASS,0.31,6,5,False
test3,test3.sr,UNKNOWN,0.97,20,20,False
test4,test4.dataout,UNKNOWN,3.22,20,20,False
