case,native_rc,split_rc,native_mapped_sha256,split_mapped_sha256,netlist_equal,stat_equal,native_total,native_comb,native_dff,split_total,split_comb,split_dff,check_assert_split
test1,0,0,64b5c9081c81fa648a8fe9f9d62316c1637834c7483e7b396575e5c8180cb4d9,64b5c9081c81fa648a8fe9f9d62316c1637834c7483e7b396575e5c8180cb4d9,True,True,510,286,222,510,286,222,True
test2,0,0,6e79fdca901cd55e5ab894e88c4fe6375ceb9a4a941175e54d18ce6674fe3209,6e79fdca901cd55e5ab894e88c4fe6375ceb9a4a941175e54d18ce6674fe3209,True,True,25,25,0,25,25,0,True
test3,0,0,45df8f4300310ab2ad1a5c8a289d210ba8a9c248fdf3995cbba23845c272500e,45df8f4300310ab2ad1a5c8a289d210ba8a9c248fdf3995cbba23845c272500e,True,True,30,12,17,30,12,17,True
test4,0,0,41c6514bbfa2237feeb861e7e1621d53d2afde3be79ac31a1b839cc40cd0aa8c,41c6514bbfa2237feeb861e7e1621d53d2afde3be79ac31a1b839cc40cd0aa8c,True,True,46,35,10,46,35,10,True
