case,native_rc,split_rc,native_mapped_sha256,split_mapped_sha256,netlist_equal,stat_equal,native_total,native_comb,native_dff,split_total,split_comb,split_dff,check_assert_split
test1,0,0,244ac047e1cdab7889431a9907f70a369b13e07fb60e73b0433922d0ba33126e,244ac047e1cdab7889431a9907f70a369b13e07fb60e73b0433922d0ba33126e,True,True,510,286,222,510,286,222,True
test2,0,0,a347bb3fd973f1eb9a8544d463b732c83a777e433cdf93ad38c9d6825d67f6a7,a347bb3fd973f1eb9a8544d463b732c83a777e433cdf93ad38c9d6825d67f6a7,True,True,25,25,0,25,25,0,True
test3,0,0,675ec29f3665f20056ed2c6859cb683c1c40fbb8a67c664ee5b378f572b85fa1,675ec29f3665f20056ed2c6859cb683c1c40fbb8a67c664ee5b378f572b85fa1,True,True,30,12,17,30,12,17,True
test4,0,0,9c0c33a25a49b5c4cf72b2ae60a422d4a806df280772fe436beca6f9abfc72e8,9c0c33a25a49b5c4cf72b2ae60a422d4a806df280772fe436beca6f9abfc72e8,True,True,46,35,10,46,35,10,True
