case,chain,partition,status_new,status_r3,changed,base_fail_len,induct_success,partition_il_init_attrs
test4,c4a_rtl_opt_mapped,test4.data_dn,PASS,PASS,,,True,1
test4,c4a_rtl_opt_mapped,test4.data_dp,PASS,PASS,,,True,1
test4,c4a_rtl_opt_mapped,test4.datain_5bis7,PASS,PASS,,,True,1
test4,c4a_rtl_opt_mapped,test4.dataout,UNKNOWN,UNKNOWN,,,False,6
test4,c4a_rtl_opt_mapped,test4.only_5b,PASS,PASS,,,True,1
test4,c4b_rtl_base_mapped,test4.data_dn,PASS,PASS,,,True,1
test4,c4b_rtl_base_mapped,test4.data_dp,PASS,PASS,,,True,1
test4,c4b_rtl_base_mapped,test4.datain_5bis7,PASS,PASS,,,True,1
test4,c4b_rtl_base_mapped,test4.dataout,UNKNOWN,UNKNOWN,,,False,6
test4,c4b_rtl_base_mapped,test4.only_5b,PASS,PASS,,,True,1
