case_id,top,input_sha256,eqy_status,baseline_total_cells,cycloneiv_lcell_comb,dffeas,other_cells,time_run1_s,time_run2_s,time_run3_s,time_median_s,rss_run1_kb,rss_run2_kb,rss_run3_kb,rss_max_kb
test1,test1,2ac40f33e7395f1fe8437e3da232733e32e79607e37871b616bab8184b6fd4aa,PASS,510,286,222,2,0.1400,0.1400,0.1400,0.1400,33952,33564,33520,33952
test2,test2,82ef15cf6e75d502633efea71c20d93b0447001974d558a7739dbb1d7bfdf88f,PASS,25,25,0,0,0.0500,0.0500,0.0500,0.0500,28632,28824,28956,28956
test3,test3,46ef97a9c39b8b38d00cc6a7e273890e3aea1700e77c141aa2213d33a8b02a61,PASS,30,12,17,1,0.0600,0.0500,0.0600,0.0600,29520,29392,28980,29520
test4,test4,87043df2ba5293da863ddd96525a548640fb826f7012d6d2af9920a1e5a0d384,PASS,46,35,10,1,0.0700,0.0700,0.0700,0.0700,30056,30104,30028,30104
