case,native_rc,split_rc,native_mapped_sha256,split_mapped_sha256,netlist_equal,stat_equal,native_total,native_comb,native_dff,split_total,split_comb,split_dff,check_assert_split
test1,0,0,92375d12645426d7a2e82ce0fb90fca934cefe192ba2cef4d02bc2433967322e,92375d12645426d7a2e82ce0fb90fca934cefe192ba2cef4d02bc2433967322e,True,True,510,286,222,510,286,222,True
test2,0,0,d4e17bd5cd6d339bdec04100728fcbd8ba6f2f83e5ff4d956ba03578afc5f0d5,d4e17bd5cd6d339bdec04100728fcbd8ba6f2f83e5ff4d956ba03578afc5f0d5,True,True,25,25,0,25,25,0,True
test3,0,0,0d0d74e2ae53917c858f2dd318c254e0fa6282d1da651a39c945ae76e09c3f98,0d0d74e2ae53917c858f2dd318c254e0fa6282d1da651a39c945ae76e09c3f98,True,True,30,12,17,30,12,17,True
test4,0,0,763af366c43785adced8eac3078b49c00880e10c86f2f33d8a08af4906e079f1,763af366c43785adced8eac3078b49c00880e10c86f2f33d8a08af4906e079f1,True,True,46,35,10,46,35,10,True
