case,native_rc,split_rc,native_mapped_sha256,split_mapped_sha256,netlist_equal,stat_equal,native_total,native_comb,native_dff,split_total,split_comb,split_dff,check_assert_split
test1,0,0,bba32b80288776091addf5721bbe7bb5996d55d036f9bd87eda9ba141b5c3e6a,bba32b80288776091addf5721bbe7bb5996d55d036f9bd87eda9ba141b5c3e6a,True,True,510,286,222,510,286,222,True
test2,0,0,c16674ce02436379a5ad8205e01caddb4a217172a7dae12b6cdf52da8c8be83a,c16674ce02436379a5ad8205e01caddb4a217172a7dae12b6cdf52da8c8be83a,True,True,25,25,0,25,25,0,True
test3,0,0,eeac0807e6baabff7ee2139fa5f2f4737a43d43bb60cc2764272af614bb72086,eeac0807e6baabff7ee2139fa5f2f4737a43d43bb60cc2764272af614bb72086,True,True,30,12,17,30,12,17,True
test4,0,0,d878131821ee0f0696aa60caa79536be4b3873fc51beafdeddec3c6ee36478d9,d878131821ee0f0696aa60caa79536be4b3873fc51beafdeddec3c6ee36478d9,True,True,46,35,10,46,35,10,True
